order,density,time
15,8.333333333333334,6182029
15,8.666666666666666,7538183
15,9.0,8779110
15,9.333333333333334,10906980
15,9.666666666666666,10661473
15,10.0,12385903
15,10.333333333333334,16635105
15,10.666666666666666,18820034
15,11.0,21187416
15,11.333333333333334,22421364
15,11.666666666666666,26611645
15,12.0,31601532
15,12.333333333333334,37060447
15,12.666666666666666,38789450
15,13.0,44369027
15,13.333333333333334,48273275
15,13.666666666666666,44965595
15,14.0,55106550
15,14.333333333333334,59196984
15,14.666666666666666,63993009
15,15.0,72250860
18,0.0,4486
18,0.3333333333333333,18217
18,0.6666666666666666,25233
18,1.0,32663
18,1.3333333333333333,40073
18,1.6666666666666667,47037
18,2.0,54721
18,2.3333333333333335,62057
18,2.6666666666666665,70376
18,3.0,79344
18,3.3333333333333335,87155
18,3.6666666666666665,99716
18,4.0,109762
18,4.333333333333333,128718
18,4.666666666666667,309022
18,5.0,350418
18,5.333333333333333,1172465
18,5.666666666666667,1375917
18,6.0,2002159
18,6.333333333333333,2535611
18,6.666666666666667,3787812
18,7.0,5026475
18,7.333333333333333,6455228
18,7.666666666666667,7706163
18,8.0,12183077
18,8.333333333333334,12452741
18,8.666666666666666,16643125
18,9.0,25307621
18,9.333333333333334,30536744
18,9.666666666666666,31041644
18,10.0,39177734
18,10.333333333333334,47649514
18,10.666666666666666,58677537
18,11.0,68925570
18,11.333333333333334,81615275
18,11.666666666666666,93544340
18,12.0,93941025
18,12.333333333333334,110360860
18,12.666666666666666,124372185
18,13.0,158775072
18,13.333333333333334,160664126
18,13.666666666666666,166084828
18,14.0,177922855
18,14.333333333333334,210952192
18,14.666666666666666,234592731
18,15.0,272427095
21,0.0,4336
21,0.3333333333333333,19255
21,0.6666666666666666,27580
21,1.0,35888
21,1.3333333333333333,44232
21,1.6666666666666667,52458
21,2.0,60780
21,2.3333333333333335,70285
21,2.6666666666666665,80101
21,3.0,88323
21,3.3333333333333335,98752
21,3.6666666666666665,109483
21,4.0,130695
21,4.333333333333333,148192
21,4.666666666666667,351519
21,5.0,955195
21,5.333333333333333,1311998
21,5.666666666666667,1987405
21,6.0,3240703
21,6.333333333333333,4599047
21,6.666666666666667,6346251
21,7.0,8938751
21,7.333333333333333,13411196
21,7.666666666666667,13626358
21,8.0,23189208
21,8.333333333333334,31559552
21,8.666666666666666,44794589
21,9.0,44959278
21,9.333333333333334,77133590
21,9.666666666666666,89092659
21,10.0,136274841
21,10.333333333333334,139714469
21,10.666666666666666,164918508
21,11.0,236579477
21,11.333333333333334,242574716
21,11.666666666666666,296964711
21,12.0,312377215
21,12.333333333333334,420254640
21,12.666666666666666,433078087
21,13.0,568190690
21,13.333333333333334,644414526
21,13.666666666666666,732030344
21,14.0,870370964
21,14.333333333333334,704695226
21,14.666666666666666,1110064260
21,15.0,1230483635
24,0.0,4322
24,0.3333333333333333,20644
24,0.6666666666666666,30352
24,1.0,39835
24,1.3333333333333333,49603
24,1.6666666666666667,59244
24,2.0,69145
24,2.3333333333333335,80166
24,2.6666666666666665,89956
24,3.0,100971
24,3.3333333333333335,112014
24,3.6666666666666665,132832
24,4.0,144478
24,4.333333333333333,181949
24,4.666666666666667,445119
24,5.0,1334680
24,5.333333333333333,2207333
24,5.666666666666667,2948639
24,6.0,5110481
24,6.333333333333333,7698667
24,6.666666666666667,12938968
24,7.0,24186468
24,7.333333333333333,32389640
24,7.666666666666667,43606431
24,8.0,61977670
24,8.333333333333334,70288757
24,8.666666666666666,115832913
24,9.0,168560183
24,9.333333333333334,171684568
24,9.666666666666666,290500533
24,10.0,317813150
24,10.333333333333334,345521786
24,10.666666666666666,537940256
24,11.0,745863445
24,11.333333333333334,816648366
24,11.666666666666666,931942427
24,12.0,1304750072
24,12.333333333333334,1395394912
24,12.666666666666666,1622211910
24,13.0,1658357153
24,13.333333333333334,2196412791
24,13.666666666666666,2587591314
24,14.0,2559562790
24,14.333333333333334,3170785827
24,14.666666666666666,3418113016
24,15.0,3748457143
27,0.0,4380
27,0.3333333333333333,22469
27,0.6666666666666666,32892
27,1.0,43756
27,1.3333333333333333,54167
27,1.6666666666666667,64973
27,2.0,76786
27,2.3333333333333335,88070
27,2.6666666666666665,99417
27,3.0,111580
27,3.3333333333333335,127003
27,3.6666666666666665,144880
27,4.0,161293
27,4.333333333333333,186793
27,4.666666666666667,484699
27,5.0,1556863
27,5.333333333333333,3328870
27,5.666666666666667,5382278
27,6.0,7637830
27,6.333333333333333,14207801
27,6.666666666666667,28327678
27,7.0,36251103
27,7.333333333333333,67960811
27,7.666666666666667,76127296
27,8.0,144368517
27,8.333333333333334,203332295
27,8.666666666666666,268413104
27,9.0,375941959
27,9.333333333333334,511271400
27,9.666666666666666,847833385
27,10.0,953456256
27,10.333333333333334,1382149573
27,10.666666666666666,1670367362
27,11.0,1768762702
27,11.333333333333334,2941883652
27,11.666666666666666,3550328991
27,12.0,3682513007
27,12.333333333333334,4910145134
27,12.666666666666666,4692941769
27,13.0,6083881099
27,13.333333333333334,7086348046
27,13.666666666666666,8814007246
27,14.0,8857330683
27,14.333333333333334,10439682843
27,14.666666666666666,13214804740
27,15.0,14338699626
