order,density,time
12,12.666666666666666,2508991
12,13.0,3017995
12,13.333333333333334,3281832
12,13.666666666666666,3599258
12,14.0,4473401
12,14.333333333333334,3480281
12,14.666666666666666,5324677
12,15.0,6377714
15,0.0,8465
15,0.3333333333333333,21343
15,0.6666666666666666,22757
15,1.0,23863
15,1.3333333333333333,25592
15,1.6666666666666667,27118
15,2.0,28306
15,2.3333333333333335,30181
15,2.6666666666666665,32070
15,3.0,33583
15,3.3333333333333335,37287
15,3.6666666666666665,41230
15,4.0,43801
15,4.333333333333333,55778
15,4.666666666666667,229938
15,5.0,247758
15,5.333333333333333,292737
15,5.666666666666667,301639
15,6.0,406121
15,6.333333333333333,604501
15,6.666666666666667,640535
15,7.0,688301
15,7.333333333333333,951934
15,7.666666666666667,1061345
15,8.0,1103787
15,8.333333333333334,1470276
15,8.666666666666666,1530452
15,9.0,1872071
15,9.333333333333334,2811977
15,9.666666666666666,2778356
15,10.0,3458415
15,10.333333333333334,4322984
15,10.666666666666666,5475920
15,11.0,5845634
15,11.333333333333334,5009876
15,11.666666666666666,7176017
15,12.0,10195687
15,12.333333333333334,12108709
15,12.666666666666666,12599847
15,13.0,13520407
15,13.333333333333334,12202833
15,13.666666666666666,15385764
15,14.0,24336126
15,14.333333333333334,25706770
15,14.666666666666666,24100000
15,15.0,27984677
18,0.0,8644
18,0.3333333333333333,23537
18,0.6666666666666666,25248
18,1.0,26712
18,1.3333333333333333,28513
18,1.6666666666666667,29748
18,2.0,32499
18,2.3333333333333335,34330
18,2.6666666666666665,37047
18,3.0,39840
18,3.3333333333333335,42081
18,3.6666666666666665,47910
18,4.0,50786
18,4.333333333333333,69250
18,4.666666666666667,72391
18,5.0,339497
18,5.333333333333333,344679
18,5.666666666666667,513817
18,6.0,715202
18,6.333333333333333,910914
18,6.666666666666667,1039749
18,7.0,1379877
18,7.333333333333333,1953043
18,7.666666666666667,2180142
18,8.0,2945747
18,8.333333333333334,4040229
18,8.666666666666666,5212173
18,9.0,4749109
18,9.333333333333334,7644911
18,9.666666666666666,9400913
18,10.0,9819862
18,10.333333333333334,16447280
18,10.666666666666666,17391664
18,11.0,29464131
18,11.333333333333334,29471913
18,11.666666666666666,28563760
18,12.0,49139136
18,12.333333333333334,61393116
18,12.666666666666666,52912186
18,13.0,74284982
18,13.333333333333334,83457360
18,13.666666666666666,84737333
18,14.0,112677998
18,14.333333333333334,150331959
18,14.666666666666666,153761735
18,15.0,154439655
21,0.0,8703
21,0.3333333333333333,25183
21,0.6666666666666666,26944
21,1.0,29060
21,1.3333333333333333,30918
21,1.6666666666666667,33044
21,2.0,35268
21,2.3333333333333335,40142
21,2.6666666666666665,41804
21,3.0,44469
21,3.3333333333333335,50412
21,3.6666666666666665,54685
21,4.0,59972
21,4.333333333333333,73337
21,4.666666666666667,377081
21,5.0,431883
21,5.333333333333333,523167
21,5.666666666666667,898031
21,6.0,1043073
21,6.333333333333333,1386779
21,6.666666666666667,2362623
21,7.0,2419983
21,7.333333333333333,3947022
21,7.666666666666667,6731236
21,8.0,5765999
21,8.333333333333334,8704245
21,8.666666666666666,17460434
21,9.0,18119264
21,9.333333333333334,25719218
21,9.666666666666666,33923791
21,10.0,45905744
21,10.333333333333334,52860194
21,10.666666666666666,81388061
21,11.0,97858091
21,11.333333333333334,144131759
21,11.666666666666666,140463675
21,12.0,230021953
21,12.333333333333334,221220132
21,12.666666666666666,262560082
21,13.0,285216277
21,13.333333333333334,370047783
21,13.666666666666666,432533218
21,14.0,489261899
21,14.333333333333334,670851933
21,14.666666666666666,753530741
21,15.0,735224397
24,0.0,8422
24,0.3333333333333333,27092
24,0.6666666666666666,29319
24,1.0,30951
24,1.3333333333333333,33241
24,1.6666666666666667,35337
24,2.0,38360
24,2.3333333333333335,42060
24,2.6666666666666665,43238
24,3.0,47917
24,3.3333333333333335,52418
24,3.6666666666666665,60355
24,4.0,67550
24,4.333333333333333,96600
24,4.666666666666667,418387
24,5.0,538238
24,5.333333333333333,740645
24,5.666666666666667,1183933
24,6.0,1640253
24,6.333333333333333,2701516
24,6.666666666666667,3706442
24,7.0,5400964
24,7.333333333333333,10176701
24,7.666666666666667,12045219
24,8.0,23072870
24,8.333333333333334,19651232
24,8.666666666666666,35095805
24,9.0,83053464
24,9.333333333333334,80017234
24,9.666666666666666,125640170
24,10.0,173091687
24,10.333333333333334,227582483
24,10.666666666666666,313108311
24,11.0,399577006
24,11.333333333333334,437527146
